               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.3469,              4.6278,              5.0211,           0.0015876,            0.065196,           0.0019547,          0.00062079,                   0,                   0,                   0,            0.070203,           0.0033108,           0.0033108
                   1,              4.2909,               2.948,              3.4212,             0.51837,              0.4247,              0.3996,             0.14093,                   0,                   0,                   0,             0.04017,           0.0066113,           0.0066113
                   2,              3.3037,                2.24,              2.4073,             0.50463,             0.44714,             0.43749,              0.1597,                   0,                   0,                   0,            0.010104,           0.0098787,           0.0098787
                   3,              3.1157,              2.1816,              2.1091,             0.46624,             0.44365,             0.40224,             0.15401,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,              3.0057,              2.0845,              1.9854,              0.6925,             0.59521,             0.64544,              0.2609,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,              2.9515,              2.0333,              1.9233,             0.71594,             0.58165,             0.66244,             0.27612,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   6,              2.8587,              1.9413,              1.8674,             0.74391,             0.61465,             0.68335,             0.29028,                   0,                   0,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,              2.8015,               1.888,                1.86,             0.72653,             0.64312,             0.69508,             0.29112,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   8,              2.7963,              1.8923,              1.8528,             0.75978,             0.65002,              0.7205,             0.29714,                   0,                   0,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,              2.7722,              1.8554,              1.8243,             0.76104,             0.61447,             0.70815,             0.29922,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  10,              2.7424,              1.8421,              1.8075,             0.76762,             0.68443,             0.72809,             0.30244,                   0,                   0,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,              2.7242,              1.8072,              1.7984,             0.76328,             0.68611,             0.74551,             0.30823,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  12,              2.7195,              1.8096,              1.8016,             0.80144,             0.68048,             0.76024,             0.32844,                   0,                   0,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,              2.6472,              1.7397,              1.7697,             0.77278,             0.69091,             0.76017,             0.32865,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  14,              2.6588,              1.7545,              1.7712,             0.79095,             0.69322,             0.76593,             0.33451,                   0,                   0,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,              2.6523,              1.7423,              1.7682,             0.77905,             0.71862,              0.7737,             0.33849,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  16,              2.6428,              1.7356,              1.7699,             0.79292,             0.71039,             0.78792,             0.35833,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,              2.6424,              1.7324,              1.7551,             0.79274,             0.73293,             0.79352,             0.34842,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  18,               2.622,              1.7113,              1.7539,             0.80885,              0.6939,             0.78558,             0.35541,                   0,                   0,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,              2.6184,              1.7091,              1.7504,             0.81322,             0.74132,             0.81071,              0.3601,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  20,              2.5945,              1.6759,               1.736,             0.80282,             0.73552,             0.79778,              0.3503,                   0,                   0,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,              2.5922,               1.657,              1.7232,             0.83291,             0.75488,             0.82935,              0.3742,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  22,              2.5755,              1.6747,              1.7419,             0.82041,              0.7342,             0.81568,             0.37123,                   0,                   0,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,              2.5893,              1.6733,              1.7432,             0.78974,             0.71016,             0.78784,             0.35227,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  24,              2.5915,               1.673,               1.721,             0.83204,             0.75899,             0.83094,             0.37261,                   0,                   0,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,              2.5737,              1.6531,              1.7093,             0.81071,             0.75553,             0.81756,             0.35137,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  26,              2.5697,              1.6718,              1.7245,             0.82369,             0.75224,             0.80924,             0.34505,                   0,                   0,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,              2.5397,              1.6225,              1.7053,             0.83675,             0.75414,             0.83339,              0.3839,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  28,              2.5449,              1.6234,              1.6924,             0.81593,             0.76255,             0.81998,             0.37055,                   0,                   0,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,              2.5665,              1.6527,              1.7231,             0.82309,             0.76039,             0.82545,             0.37679,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  30,               2.539,              1.6197,              1.7078,             0.79725,             0.74617,             0.79685,             0.36301,                   0,                   0,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,              2.5343,              1.6137,              1.7062,             0.81899,              0.7538,             0.83082,             0.38272,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  32,              2.5225,               1.602,              1.7041,             0.82122,             0.76735,             0.83577,             0.38156,                   0,                   0,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,              2.5386,               1.629,              1.7025,             0.81836,             0.76299,             0.81848,             0.35831,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  34,              2.5249,              1.6044,              1.7009,             0.84754,             0.76078,             0.84624,             0.40165,                   0,                   0,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,              2.5136,              1.5928,              1.6898,             0.84414,               0.779,             0.84637,             0.39002,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  36,              2.4995,              1.5802,              1.6802,             0.82667,             0.75557,             0.82413,             0.36382,                   0,                   0,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,              2.5275,              1.6073,              1.7089,             0.84452,             0.78135,             0.85354,             0.39631,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  38,               2.491,              1.5805,              1.6916,             0.84328,             0.78833,             0.85531,             0.39952,                   0,                   0,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,              2.4982,              1.5684,              1.6876,             0.84054,             0.77528,             0.85027,             0.39512,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  40,              2.4824,              1.5727,              1.6859,             0.83238,             0.77957,             0.85058,             0.39975,                   0,                   0,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,              2.4787,              1.5662,              1.6719,             0.82535,             0.78392,             0.84975,               0.402,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  42,              2.4848,              1.5725,              1.6865,             0.84513,             0.78857,             0.85634,              0.3971,                   0,                   0,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,              2.4641,              1.5492,              1.6821,             0.85191,             0.80528,             0.86485,             0.40419,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  44,              2.4838,              1.5564,              1.6726,              0.8417,             0.80288,             0.85919,             0.39557,                   0,                   0,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,              2.4503,              1.5313,              1.6685,             0.85089,             0.79966,             0.86071,             0.39619,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  46,              2.4582,              1.5399,              1.6728,             0.85551,             0.80735,             0.87356,             0.40776,                   0,                   0,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,              2.4799,              1.5632,              1.6795,             0.83875,             0.79843,             0.86141,             0.40239,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  48,              2.4631,              1.5443,              1.6722,             0.85512,              0.7923,             0.86372,             0.40944,                   0,                   0,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,              2.4455,              1.5365,              1.6615,             0.85505,             0.78543,             0.86141,             0.40679,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  50,              2.4353,              1.5201,              1.6569,             0.83859,             0.80981,              0.8584,             0.39595,                   0,                   0,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,              2.4515,              1.5334,              1.6609,             0.85167,             0.80594,             0.86989,             0.41947,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  52,              2.4513,              1.5375,              1.6623,             0.84984,             0.79543,             0.86306,             0.41601,                   0,                   0,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,              2.4466,              1.5185,              1.6454,             0.85588,             0.80831,             0.87089,             0.40726,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  54,              2.4435,              1.5195,              1.6517,              0.8635,             0.79406,             0.86786,             0.40496,                   0,                   0,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,              2.4348,              1.5198,              1.6625,             0.86451,             0.80857,             0.87636,             0.42035,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  56,              2.4386,              1.5313,              1.6595,             0.84133,             0.79547,             0.86313,             0.41144,                   0,                   0,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,              2.4233,              1.5026,              1.6577,             0.85763,             0.80523,              0.8734,             0.41208,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  58,              2.4291,              1.5064,              1.6471,             0.86229,             0.81255,              0.8753,             0.41276,                   0,                   0,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,              2.4288,              1.4997,              1.6417,             0.85921,             0.81172,             0.87205,             0.40419,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  60,              2.4184,              1.5027,              1.6509,             0.85599,             0.82591,             0.87379,             0.40451,                   0,                   0,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,              2.4131,              1.4985,              1.6487,             0.85073,             0.82748,             0.88191,             0.42311,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  62,              2.4054,               1.483,              1.6294,             0.87188,             0.80662,             0.88204,             0.42932,                   0,                   0,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,              2.3962,              1.4979,              1.6498,             0.87292,             0.80796,             0.88126,             0.42805,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  64,              2.4253,              1.5185,              1.6394,             0.85179,             0.82727,              0.8819,             0.43066,                   0,                   0,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,              2.4094,              1.4873,              1.6331,             0.85898,              0.8119,             0.87919,              0.4193,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  66,              2.4007,              1.4982,              1.6264,             0.86341,             0.81068,             0.87935,             0.43258,                   0,                   0,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,              2.4186,              1.5049,              1.6263,             0.85116,             0.80771,              0.8728,             0.42334,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  68,              2.4254,              1.5106,              1.6286,             0.85225,             0.84007,             0.88771,             0.43133,                   0,                   0,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,              2.4259,              1.5125,              1.6141,              0.8781,             0.83335,             0.89321,             0.44087,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  70,              2.4083,              1.5051,              1.6243,             0.86972,              0.8064,             0.87874,             0.43947,                   0,                   0,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,               2.385,               1.493,              1.6212,             0.86185,             0.82764,             0.88659,             0.43066,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  72,              2.3743,              1.4766,              1.5999,             0.87884,             0.82636,             0.89564,              0.4331,                   0,                   0,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,              2.4053,              1.5036,              1.5998,             0.87119,               0.822,             0.88015,             0.41683,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  74,              2.3987,              1.4914,              1.6067,             0.86291,             0.80745,             0.87928,             0.43065,                   0,                   0,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,              2.3805,              1.4795,              1.6016,             0.85908,             0.81735,             0.87568,             0.42385,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  76,              2.3636,              1.4755,              1.5989,             0.87331,             0.82939,             0.88986,             0.43589,                   0,                   0,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,              2.3708,              1.4765,              1.6052,             0.86387,             0.83197,             0.88947,             0.43445,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  78,               2.373,              1.4763,                1.59,             0.86589,             0.82672,             0.88897,             0.42755,                   0,                   0,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,              2.4005,              1.4903,              1.5973,             0.86824,             0.83035,              0.8919,             0.43157,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  80,              2.3779,              1.4878,                1.59,             0.86722,             0.82835,             0.88931,             0.43416,                   0,                   0,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,              2.3755,              1.4822,              1.5979,             0.85338,             0.81776,              0.8786,             0.41851,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  82,              2.3781,              1.4882,              1.5901,             0.87026,             0.82765,             0.89082,             0.42418,                   0,                   0,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,              2.3643,              1.4716,              1.5842,             0.86875,              0.8344,              0.8935,             0.43345,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  84,              2.3768,              1.4766,              1.5874,              0.8823,             0.83929,             0.90064,             0.43648,                   0,                   0,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,              2.3408,              1.4446,              1.5782,             0.86979,             0.83977,             0.89779,             0.43876,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  86,              2.3531,              1.4636,              1.5812,             0.87419,             0.82722,             0.89145,             0.43255,                   0,                   0,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,              2.3443,               1.452,               1.568,              0.8814,             0.83205,             0.89687,              0.4382,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  88,              2.3441,              1.4473,              1.5735,             0.88545,             0.83702,             0.90129,             0.44593,                   0,                   0,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,              2.3306,              1.4417,              1.5777,             0.88012,             0.84648,             0.90191,             0.43435,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  90,              2.3562,              1.4705,              1.5898,             0.86987,             0.83996,             0.89425,             0.43479,                   0,                   0,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,              2.3458,              1.4621,              1.5787,             0.87415,             0.83252,             0.89496,             0.44178,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  92,              2.3382,              1.4676,              1.5866,             0.87388,             0.83968,             0.89985,             0.44484,                   0,                   0,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,              2.3441,              1.4544,              1.5752,             0.88125,             0.83616,             0.90089,             0.44731,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  94,              2.3505,              1.4641,              1.5744,             0.87826,             0.83656,             0.90042,             0.44941,                   0,                   0,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,              2.3432,              1.4605,              1.5718,              0.8841,             0.84535,             0.90552,             0.45454,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  96,              2.3488,              1.4507,                1.58,             0.87962,             0.84953,             0.90714,              0.4584,                   0,                   0,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,              2.3277,               1.437,              1.5694,             0.88252,              0.8388,             0.90194,             0.44517,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  98,              2.3185,              1.4396,              1.5676,             0.88116,             0.84125,             0.90247,             0.44856,                   0,                   0,                   0,           0.0051985,           0.0051985,           0.0051985
